timestamp,soil_moist_raw,air_hum_raw,air_temp_raw,plant_temp_raw,soil_temp_raw,soil_moist_cat,air_hum_cat,air_temp_cat,plant_temp_cat,soil_temp_cat,method,summary_text,advice_text
2025-08-16T15:03:50.725916,140,174,11,142,151,4,6,0,4,5,model,Waterlogged soil with heat stress,"Waterlogged & hot: improve drainage immediately, reduce standing water, provide partial shade, pause further watering until soil drains, and monitor for disease."
2025-08-16T15:03:58.971665,3,173,196,144,196,0,5,6,4,6,model,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
2025-08-16T15:04:04.966780,21,100,72,124,162,0,3,2,4,5,model,Dry soil with heat stress,"Drought + heat: apply deep irrigation immediately, deploy shade cloth during peak sun, mist in cooler hours, and avoid midday foliar wetting to prevent burns."
2025-08-16T15:04:10.474810,94,131,104,50,38,3,4,3,1,1,rule,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:04:16.202252,140,132,91,84,1,4,4,3,2,0,model,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:04:22.323672,184,23,114,154,193,6,0,3,5,6,model,Waterlogged soil with heat stress,"Waterlogged & hot: improve drainage immediately, reduce standing water, provide partial shade, pause further watering until soil drains, and monitor for disease."
2025-08-16T15:04:28.270066,21,155,184,110,171,0,5,6,3,5,model,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
2025-08-16T15:04:34.195502,56,152,112,12,151,1,5,3,0,5,model,Dry soil with cool plant,"Soil moisture is too low while leaf temps are cool: irrigate deeply to wet the root zone, add warm mulch, protect plants from cold at night using covers."
2025-08-16T15:04:39.906672,84,61,196,136,49,2,2,6,4,1,model,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
2025-08-16T15:04:45.470307,183,43,37,95,170,6,1,1,3,5,model,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:22:57.712443,74,97,81,137,166,2,3,2,4,5,rule,Dry soil with heat stress,"Drought + heat: apply deep irrigation immediately, deploy shade cloth during peak sun, mist in cooler hours, and avoid midday foliar wetting to prevent burns."
2025-08-16T15:23:07.675781,117,37,62,21,136,4,1,2,0,4,model,Waterlogged soil with cool plant,"Waterlogged & cool: stop irrigation, improve surface drainage, gently aerate soil, apply dark mulch to raise soil temperature slightly and reduce root-rot risk."
2025-08-16T15:23:16.128636,108,151,102,158,8,3,5,3,5,0,model,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:23:22.061193,159,176,1,115,60,5,6,0,3,2,model,High humidity and waterlogging risk (disease-prone),"High humidity combined with wet soil: high disease risk — increase ventilation, space plants, remove standing water, and prune dense growth to improve airflow."
2025-08-16T15:23:27.780655,56,7,197,99,99,1,0,6,3,3,model,Low humidity combined with heat (transpiration stress),"Low humidity with high temperatures: raise local humidity with intermittent misting or trays, add partial shade, and monitor plant turgor and VPD to avoid excessive transpiration."
2025-08-16T15:23:33.368698,168,38,85,130,81,5,1,2,4,2,rule,Waterlogged soil with heat stress,"Waterlogged & hot: improve drainage immediately, reduce standing water, provide partial shade, pause further watering until soil drains, and monitor for disease."
2025-08-16T15:23:38.636016,31,151,74,46,161,1,5,2,1,5,rule,Dry soil with cool plant,"Soil moisture is too low while leaf temps are cool: irrigate deeply to wet the root zone, add warm mulch, protect plants from cold at night using covers."
2025-08-16T15:23:44.428041,194,47,151,160,4,6,1,5,5,0,model,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
2025-08-16T15:23:50.308003,152,16,9,181,176,5,0,0,6,6,model,Waterlogged soil with heat stress,"Waterlogged & hot: improve drainage immediately, reduce standing water, provide partial shade, pause further watering until soil drains, and monitor for disease."
2025-08-16T15:23:56.271957,147,14,124,83,125,5,0,4,2,4,model,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
2025-08-16T15:24:02.246293,32,105,195,112,68,1,3,6,3,2,model,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:24:08.215013,119,81,24,163,192,4,2,0,5,6,model,Waterlogged soil with heat stress,"Waterlogged & hot: improve drainage immediately, reduce standing water, provide partial shade, pause further watering until soil drains, and monitor for disease."
2025-08-16T15:24:13.811951,143,111,1,68,142,4,3,0,2,4,model,Minor/mixed deviations — small adjustments recommended,"Minor or mixed deviations: make small targeted adjustments (slightly tweak irrigation, add thin mulch, introduce partial shade or a fan) and monitor daily for trends."
2025-08-16T15:24:19.371673,59,68,120,145,32,2,2,4,5,1,rule,Systemic heat stress (air + soil + leaves hot),"System-wide heat stress: combine shade cloth, enhanced ventilation, deep early-morning irrigation, and consider evaporative cooling if available to protect canopy and roots."
